Dish Name,Count
Quinoa Salad,4
Chickpea and Spinach Curry,3
Turkey and Vegetable Stuffed Peppers,3
Lentil Soup,3
Sweet Potato and Black Bean Chili,3
Quinoa Salad with Mixed Vegetables,3
Grilled Salmon with Asparagus,3
Sweet Potato and Black Bean Tacos,3
Vegetable Stir-Fry with Tofu,3
Vegetable Stir-Fry,2
Grilled Salmon with Avocado Salsa,2
Spinach and Mushroom Frittata,2
Greek Salad with Grilled Chicken,2
Baked Cod with Lemon and Dill,2
Chicken and Vegetable Stir-Fry,2
Stuffed Bell Peppers,2
Grilled Chicken and Avocado Wrap,2
Greek Yogurt Parfait with Berries and Granola,2
Greek Yogurt Parfait,2
Roasted Beet and Goat Cheese Salad,2
Grilled Salmon with Steamed Broccoli,1
Baked Sweet Potato with Cottage Cheese and Chives,1
Chicken Caesar Salad,1
Greek Yogurt with Mixed Berries and Nuts,1
Avocado and Egg Toast,1
Quinoa Salad with Chickpeas and Tomatoes,1
Roasted Vegetable and Farro Bowl,1
Chicken and Broccoli Stir-Fry,1
Lentil Soup with Carrots and Celery,1
Vegetable and Chickpea Curry,1
Spinach and Feta Stuffed Chicken,1
Broccoli and Cauliflower Soup,1
Lentil Salad with Cucumber and Tomatoes,1
Quinoa Salad with Roasted Vegetables and Lemon-Tahini Dressing,1
Baked Salmon with Dill Yogurt Sauce,1
Vegetarian Chili,1
Stir-Fried Tofu with Vegetables on Brown Rice,1
Butternut Squash Soup,1
Mediterranean Quinoa Bowl,1
Spinach and Mushroom Omelette,1
Asian Sesame Zucchini Noodles,1
Grilled Salmon with Quinoa Salad,1
Vegetable and Hummus Wrap,1
Zucchini Noodles with Pesto and Cherry Tomatoes,1
Mixed Berry and Spinach Smoothie,1
Quinoa and Black Bean Salad,1
Baked Sweet Potato with Broccoli and Feta,1
Chicken and Vegetable Soup,1
Spinach and Feta Stuffed Chicken Breast,1
Turmeric Roasted Cauliflower,1
Lentil Salad with Roasted Veggies,1
Soba Noodle Bowl with Edamame and Veggies,1
Chickpea and Spinach Stew,1
Turkey and Vegetable Soup,1
Oatmeal with Fresh Berries and Nuts,1
Baked Lemon Pepper Chicken,1
"Kale, Apple, and Walnut Salad",1
Oven-Baked Salmon with Asparagus,1
Turkish-Style Lentil Soup,1
Grilled Chicken and Vegetable Kabobs,1
Baked Salmon with Asparagus,1
Spinach and Avocado Smoothie,1
Turkey and Vegetable Chili,1
Sweet Potato and Black Bean Burrito Bowls,1
Turkey and Vegetable Stir-Fry,1
Vegetable and Hummus Wraps,1
Broccoli and Almond Soup,1
Baked Tilapia with Mango Salsa,1
Kale and Quinoa Stuffed Bell Peppers,1
Greek Yogurt Parfait with Berries and Nuts,1
