Dish Name,Count
شوربة العدس,24
سلطة الكينوا والخضروات,8
سلطة الكينوا,6
تبولة,6
حساء العدس,5
سلطة الكينوا مع الخضار,5
دجاج مشوي بالأعشاب والليمون,4
سلطة الكينوا والخضار,4
التبولة,3
تبولة الكينوا,3
السمك المشوي مع الخضروات,3
دجاج مشوي مع الأعشاب,3
سمك السلمون المشوي مع الأسبرجس,3
سمك السلمون المشوي مع الأسباراجوس,2
الشكشوكة,2
صدر دجاج مشوي مع الأعشاب,2
تاكو السمك الصحي,2
كاري الخضار الهندي,2
طبق الفول المدمس,2
السمك المشوي مع الخضار,2
الدجاج المشوي مع الأعشاب,2
الفلافل المخبوزة,2
شوربة الخضار,2
سلطة الفواكه الطازجة,2
بطاطا حلوة محشوة,2
الفاهيتا النباتية,2
سموذي الفواكه والخضروات,2
طاجن الخضار,2
سلطة السبانخ مع البيض المسلوق,2
البطاطا الحلوة المخبوزة,2
سلطة الكينوا بالخضار,2
الدجاج المشوي بالأعشاب,2
السلطة اليونانية,2
الباذنجان المشوي مع صلصة الطماطم,2
الباذنجان المشوي,2
السمك المشوي,2
طبق الفلافل البيتي مع الطحينة,1
دجاج مشوي مع الأعشاب الطازجة,1
سمك السلمون المشوي مع الليمون والثوم,1
بودنغ الشيا مع التوت,1
شرائح اللحم مع الخضروات المشوية,1
البطاطا الحلوة المخبوزة مع الحمص,1
الدجاج المشوي مع الخضار,1
سمك السلمون المخبوز,1
عجة الخضار,1
شوربة خضار بروكلي,1
ساندويش الخضار المشوية,1
البطاطس المحمصة مع الأعشاب,1
سلطة الكينوا مع الخضروات,1
الفلفل المحشي بالخضار والأرز البني,1
سلطة الحمص بالأعشاب والطماطم,1
باذنجان مشوي مع صلصة الطماطم والريحان,1
تاكو السمك مع الملفوف وصوص الأفوكادو,1
تبولة البروكلي,1
خبز الزنجبيل والعسل مع الجزر المشوي والزبادي اليوناني,1
دجاج مشوي مع الزعتر والليمون,1
طبق الفول السوداني مع الخضار,1
الفتوش,1
كباب الخضار,1
الحمص,1
الأرز البني مع الدجاج والبازلاء,1
سلطة الخضار المشكلة,1
السمك المخبوز مع الخضار,1
سلطة الكينوا مع الفواكه,1
استير فراي الخضار والتوفو,1
الكسكس مع الخضار,1
سلطة الكينوا مع الخضروات المشوية,1
طبق العدس بالخضار,1
سمك السلمون المشوي مع الأعشاب,1
دجاج مشوي مع البروكلي والثوم,1
فتة الحمص مع الخضروات,1
كسكسي مع الخضار,1
دجاج مع الكركم والزنجبيل,1
حساء العدس بالكاري,1
طاجن خضار مشوي,1
الحمص مع الخضروات النيئة,1
ستير فراي الخضروات والتوفو,1
بروكلي مطهو بالبخار,1
كسكسي مع الخضروات,1
الدجاج المشوي مع الخضروات,1
السمك المخبوز,1
طبق الحمص مع الخضروات النيئة,1
التوفو المتبل والمشوي,1
أوملت الخضار,1
تبولة البرغل بالبقدونس,1
طبق السمك المشوي مع الخضار,1
سلطة البروكلي والتفاح مع الجوز,1
تبولة البقدونس والبرغل,1
شوربة الخضار الموسمية,1
معكرونة القمح الكامل مع صلصة الطماطم والخضار,1
بوريتو الفاصولياء السوداء والأفوكادو,1
عصير الخضار والفواكه,1
خضار مشوية مع الأعشاب الطبيعية,1
سلطة السبانخ مع الأفوكادو والجوز,1
سمك السلمون المخبوز مع الخضر,1
تاكو الخضار,1
فطيرة البطاطا الحلوة,1
الكسكسي مع الخضروات واللوز,1
شوربة البروكلي والكريمة الخفيفة,1
الدجاج المشوي مع الخضروات الموسمية,1
سموثي السبانخ والفواكه,1
السلمون المشوي,1
البقوليات المشكلة مع الرز البني,1
ستيك اللحم مع سلطة الأرجولا,1
باذنجان محشي بالخضار والكينوا,1
سلطة الأفوكادو والجمبري,1
سمك مشوي مع الأسباراغوس,1
دجاج مشوي مع الخضار الموسمية,1
الحمص بالسبانخ والطماطم,1
ستيك اللحم مع سلطة جرجير,1
أومليت الخضار,1
سلطة الأفوكادو مع التونا,1
الدجاج المشوي مع البروكلي,1
سمك السلمون المشوي مع الأسبراجس,1
الفاصوليا السوداء والأرز البني,1
بطاطا حلوة مشوية وحمص,1
التاكو النباتي,1
سلطة السبانخ والجوز,1
المأكولات البحرية وخضروات الموسم المطهوة على البخار,1
عصير أخضر,1
سمك مشوي مع أعشاب,1
طبق الفتوش,1
طبق المأكولات البحرية مع الخضار على البخار,1
تاكو السمك,1
حمص بفلفل الرومي المحشي,1
باذنجان مشوي مع الطماطم والجبنة الفيتا,1
الكاري الخضار مع الحليب جوز الهند,1
التوفو المشوي مع الخضروات,1
دجاج مشوي بالأعشاب,1
سلطة البروكلي والتفاح,1
روبيان مشوي مع الثوم والليمون,1
سمك السلمون المخبوز مع الأسبراجوس,1
كسكس بالخضراوات والمكسرات,1
طبق الفول والخضراوات المنوعة,1
شوربة الخضار الصافية,1
برجر الفاصوليا السوداء,1
سلطة الفواكه,1
ستير فراي الخضار مع التوفو,1
فطائر الشوفان بالموز,1
سمك السلمون المشوي,1
الكينوا بالخضار,1
الحمص بالطحينة,1
فاهيتا الدجاج بالخضروات,1
بيض مسلوق مع الخضروات البخارية,1
كرات الطاقة بالتمر والمكسرات,1
السمك المشوي مع الأعشاب,1
صدر الدجاج المشوي مع الخضروات,1
حساء الخضروات,1
التوفو المقلي مع الخضروات,1
أومليت البيض مع السبانخ,1
سلطة الحمص والطماطم,1
بروكلي مطهو على البخار مع الثوم وقليل من زيت الزيتون,1
الدجاج المشوي مع الأعشاب والليمون,1
مكرونة القمح الكامل مع الصلصة الحمراء والخضار,1
الفاصولياء السوداء والرز البني,1
ستيك اللحم مع السلطة الخضراء,1
عجة البيض بالخضروات,1
حلوى الزبادي مع الفواكه,1
حساء البروكلي والكرفس,1
طبق الفاصولياء السوداء والأرز البني,1
تاكو السمك باستخدام خبز الذرة,1
صدور الديك الرومي المشوية مع الخضار,1
فطيرة السبانخ والفيتا بدون قشرة,1
الدجاج المشوي مع الأعشاب الطازجة,1
الفاصوليا السوداء والكورن تاكوس,1
الفلفل المحشي بالكينوا والخضار,1
تتبيلة الدجاج المشوي بالزبادي والتوابل,1
البطاطا الحلوة المشوية مع الدجاج,1
