dish_name,count,label
شوربة العدس,24,A
سلطة الكينوا والخضروات,8,G
سلطة الكينوا,6,G
تبولة,6,A
حساء العدس,5,A
سلطة الكينوا مع الخضار,5,G
دجاج مشوي بالأعشاب والليمون,4,G
سلطة الكينوا والخضار,4,G
التبولة,3,A
تبولة الكينوا,3,A
السمك المشوي مع الخضروات,3,G
دجاج مشوي مع الأعشاب,3,G
سمك السلمون المشوي مع الأسبرجس,3,G
سمك السلمون المشوي مع الأسباراجوس,2,G
الشكشوكة,2,A
صدر دجاج مشوي مع الأعشاب,2,G
تاكو السمك الصحي,2,O
كاري الخضار الهندي,2,O
طبق الفول المدمس,2,G
السمك المشوي مع الخضار,2,G
الدجاج المشوي مع الأعشاب,2,G
الفلافل المخبوزة,2,A
شوربة الخضار,2,G
سلطة الفواكه الطازجة,2,G
بطاطا حلوة محشوة,2,G
الفاهيتا النباتية,2,O
سموذي الفواكه والخضروات,2,G
طاجن الخضار,2,A
سلطة السبانخ مع البيض المسلوق,2,G
البطاطا الحلوة المخبوزة,2,G
سلطة الكينوا بالخضار,2,G
الدجاج المشوي بالأعشاب,2,G
السلطة اليونانية,2,W
الباذنجان المشوي مع صلصة الطماطم,2,G
الباذنجان المشوي,2,G
السمك المشوي,2,G
طبق الفلافل البيتي مع الطحينة,1,A
دجاج مشوي مع الأعشاب الطازجة,1,G
سمك السلمون المشوي مع الليمون والثوم,1,G
بودنغ الشيا مع التوت,1,G
شرائح اللحم مع الخضروات المشوية,1,G
البطاطا الحلوة المخبوزة مع الحمص,1,A
الدجاج المشوي مع الخضار,1,G
سمك السلمون المخبوز,1,G
عجة الخضار,1,G
شوربة خضار بروكلي,1,G
ساندويش الخضار المشوية,1,G
البطاطس المحمصة مع الأعشاب,1,G
سلطة الكينوا مع الخضروات,1,G
الفلفل المحشي بالخضار والأرز البني,1,G
سلطة الحمص بالأعشاب والطماطم,1,G
باذنجان مشوي مع صلصة الطماطم والريحان,1,G
تاكو السمك مع الملفوف وصوص الأفوكادو,1,O
تبولة البروكلي,1,A
خبز الزنجبيل والعسل مع الجزر المشوي والزبادي اليوناني,1,W
دجاج مشوي مع الزعتر والليمون,1,G
طبق الفول السوداني مع الخضار,1,G
الفتوش,1,A
كباب الخضار,1,A
الحمص,1,A
الأرز البني مع الدجاج والبازلاء,1,G
سلطة الخضار المشكلة,1,G
السمك المخبوز مع الخضار,1,G
سلطة الكينوا مع الفواكه,1,G
استير فراي الخضار والتوفو,1,G
الكسكس مع الخضار,1,A
سلطة الكينوا مع الخضروات المشوية,1,G
طبق العدس بالخضار,1,G
سمك السلمون المشوي مع الأعشاب,1,G
دجاج مشوي مع البروكلي والثوم,1,G
فتة الحمص مع الخضروات,1,A
كسكسي مع الخضار,1,A
دجاج مع الكركم والزنجبيل,1,G
حساء العدس بالكاري,1,O
طاجن خضار مشوي,1,W
الحمص مع الخضروات النيئة,1,G
ستير فراي الخضروات والتوفو,1,G
بروكلي مطهو بالبخار,1,G
كسكسي مع الخضروات,1,A
الدجاج المشوي مع الخضروات,1,G
السمك المخبوز,1,G
طبق الحمص مع الخضروات النيئة,1,A
التوفو المتبل والمشوي,1,G
أوملت الخضار,1,G
تبولة البرغل بالبقدونس,1,A
طبق السمك المشوي مع الخضار,1,G
سلطة البروكلي والتفاح مع الجوز,1,G
تبولة البقدونس والبرغل,1,A
شوربة الخضار الموسمية,1,G
