dish_name,count,label,
南瓜汤,12,W,"“is a common Thanksgiving dish in the United States. Various versions of the dish are known in many European countries, the United States and other areas of North America, in Asia and in Australia. “"
烤地中海蔬菜,8,W,
鸡胸肉炒蔬菜,6,C,
绿豆汤,6,C,
番茄炒蛋,5,C,
鸡胸肉沙拉,5,W,
藜麦色拉,5,W,
清蒸鲈鱼,4,C,
凉拌苦瓜,4,C,
蒸三文鱼,4,G,
鸡肉蔬菜汤,2,G,Wikipedia says global
蔬菜豆腐汤,2,C,I feel like tofu is very chinese
蔬菜炒豆腐,2,C,
蒸鱼,2,C,
土豆烧茄子,2,C,
三文鱼刺身,2,O,
番茄鸡蛋汤,2,C,
烤鸡胸肉配蔬菜,2,W,
土豆泥配菠菜,2,W,
番茄炖豆汤,2,W,
水果酸奶沙拉,2,G,
豆腐皮凉菜,2,C,
南瓜粥,2,C,
番茄炖豆,2,W,
土豆烧菜花,2,C,
土豆泥配烤蔬菜,2,W,
蔬菜汤,2,G,
蒸三文鱼搭配生姜和大蒜,2,G,Not sure
素食寿司,2,O,
豆腐炒菜,2,C,
藜麦蔬菜碗,2,W,
蔬菜杂粮沙拉,1,W,
土豆烤鸡,1,W,
豆腐五彩炒菜,1,C,
三文鱼蔬菜卷,1,G,
西兰花炒虾,1,C,
烤鹰嘴豆和甜菜根沙拉,1,W,
香蕉燕麦粥,1,W,
西兰花清蒸鸡胸肉,1,C,
番茄烤鳕鱼,1,W,
凉拌黑木耳,1,C,
南瓜燕麦粥,1,C,
土豆炖菠菜,1,O,Aloo Palak
清炒四季豆,1,C,
水煮鸡蛋配沙拉,1,G,
烤南瓜豆腐沙拉,1,G,
番薯紫菜汤,1,O,???????
蒸三文鱼配柠檬薄荷酱,1,W,
烤鸡胸肉配罗勒和番茄,1,W,
凉拌藜麦沙拉,1,W,
韩式拌饭,1,O,
墨西哥风味蔬菜炒豆,1,O,
印度豆腐咖喱,1,O,
地中海鹰嘴豆沙拉,1,W,
日式汤面,1,O,
蔬菜豆浆汤,1,O,
蒸三文鱼配绿叶菜,1,G,
番茄炖扁豆汤,1,W,
烤地瓜搭配羽衣甘蓝,1,W,
素食拌面,1,C,
水煮蛋配鳄梨沙拉,1,W,
土耳其式烤肉串,1,O,
绿豆芽泰式沙拉,1,O,
瓜柳配薏仁米,1,C,
凤梨炒豆腐,1,G,???????
蒸鲈鱼,1,C,
土豆泥配烤鸡胸肉,1,W,
烤蔬菜沙拉,1,W,
凉拌豆腐皮,1,C,
三文鱼拌饭,1,G,
蔬菜煎饼,1,O,
蒜蓉西兰花,1,C,
冬瓜汤,1,C,
