Dish Name,Count
鶏胸肉のグリル,9
豆腐と野菜の炒め物,9
野菜スープ,7
海藻サラダ,5
かぼちゃのスープ,5
トマトとモッツァレラのカプレーゼ,4
キヌアサラダ,4
レンズ豆のカレー,4
サーモンのグリル,3
野菜たっぷりの味噌汁,3
鮭のムニエル,3
野菜たっぷりのミネストローネ,3
キヌアと野菜のサラダ,3
ひじきの煮物,3
レンズ豆のスープ,2
かぼちゃの煮物,2
サラダボウル,2
トマトとバジルのパスタ,2
鯖の味噌煮,2
豆腐サラダ,2
鮭のホイル焼き,2
鶏胸肉のグリル野菜添え,2
ほうれん草のおひたし,2
鮭のグリル,2
豆腐と野菜の味噌汁,2
鶏の胸肉のグリル,2
玄米ご飯,2
野菜の豆腐サラダ,1
焼き鮭の野菜添え,1
きのこと豆のヴィーガンチリ,1
カボチャのリゾット,1
ムング豆とスピナッチのカレー,1
ビーツとワカモレのサラダ,1
甘酒と味噌のニンジンスープ,1
ブロッコリーとカリフラワーのサラダ,1
キノコとほうれん草のリゾット,1
寒天とフルーツデザート,1
おひたし,1
海鮮丼,1
レンズ豆のサラダ,1
きのこ炒め,1
焼き魚,1
レンティルカレー,1
ほうれん草と卵のスクランブル,1
手作り野菜ジュース,1
マリネされたトーフと野菜のサラダ,1
豆腐とわかめのサラダ,1
酢の物（きゅうりと海草）,1
サバの塩焼き,1
キノコと鶏肉の炒めもの,1
野菜たっぷりのみそ汁,1
カレーライス,1
ベジタリアンチリ,1
スムージー,1
鶏肉のグリル,1
ほうれん草とリコッタチーズ入りのファルファーレ,1
サバの味噌煮,1
トマトとバジルのガスパチョ,1
バリのソテー,1
キノコと鶏肉のケバブ,1
ほうれん草のサラダ,1
玄米リゾット,1
ベリーのスムージー,1
南瓜のスープ,1
焼き魚と野菜の蒸し料理,1
サーモンのガーリック焼き,1
ほうれん草と玉ねぎのスクランブルエッグ,1
かぶと水菜のサラダ,1
トマトとバジルのスパゲッティ（全粒粉使用）,1
焼き魚（例：鯖）,1
豆乳ポタージュ,1
サーモンの焼き物,1
野菜とキノコの炒め物,1
ほうれん草とひよこ豆のカレー,1
鮭と野菜のパピヨット,1
ビートとニンジンのジュース,1
サーモンのオーブン焼き,1
ほうれん草とリコッタチーズのファルファーレ,1
ギリシャ風サラダ,1
豆腐ときのこの炒め物,1
サーモンのハーブ焼き,1
キノアと野菜のサラダ,1
ほうれん草と豚肉の胡麻和え,1
鳥肉のトマト煮込み,1
スムージーボウル,1
ほうれん草のスムージー,1
チキンと野菜のスープ,1
野菜と豆のチリ,1
鶏胸肉の蒸し焼き,1
スイートポテトのロースト,1
海鮮サラダ,1
全粒粉パスタのトマトソース,1
キノコと野菜の鍋物,1
バナナとヨーグルトのスムージー,1
海草サラダ,1
野菜と豆のサラダ,1
鶏胸肉のひじき煮,1
豆腐と野菜のミネストローネ,1
キノコとほうれん草のキッシュ,1
親子丼,1
レンティル豆のサラダ,1
豆乳入りスムージー,1
玄米と野菜のピラフ,1
きのこの炒め物,1
ヨーグルトとフルーツ,1
キノアサラダ,1
