dish_name,count,label
鶏胸肉のグリル,9,G
豆腐と野菜の炒め物,9,J
野菜スープ,7,G
海藻サラダ,5,J
かぼちゃのスープ,5,W
トマトとモッツァレラのカプレーゼ,4,W
キヌアサラダ,4,W
レンズ豆のカレー,4,O
サーモンのグリル,3,J
野菜たっぷりの味噌汁,3,J
鮭のムニエル,3,W
野菜たっぷりのミネストローネ,3,W
キヌアと野菜のサラダ,3,W
ひじきの煮物,3,J
レンズ豆のスープ,2,G
かぼちゃの煮物,2,J
サラダボウル,2,W
トマトとバジルのパスタ,2,W
鯖の味噌煮,2,J
豆腐サラダ,2,J
鮭のホイル焼き,2,J
鶏胸肉のグリル野菜添え,2,G
ほうれん草のおひたし,2,J
鮭のグリル,2,J
豆腐と野菜の味噌汁,2,J
鶏の胸肉のグリル,2,G
玄米ご飯,2,J
野菜の豆腐サラダ,1,G
焼き鮭の野菜添え,1,G
きのこと豆のヴィーガンチリ,1,O
カボチャのリゾット,1,W
ムング豆とスピナッチのカレー,1,O
ビーツとワカモレのサラダ,1,O
甘酒と味噌のニンジンスープ,1,J
ブロッコリーとカリフラワーのサラダ,1,G
キノコとほうれん草のリゾット,1,W
寒天とフルーツデザート,1,J
おひたし,1,J
海鮮丼,1,J
レンズ豆のサラダ,1,G
きのこ炒め,1,J
焼き魚,1,J
レンティルカレー,1,O
ほうれん草と卵のスクランブル,1,G
手作り野菜ジュース,1,G
マリネされたトーフと野菜のサラダ,1,G
豆腐とわかめのサラダ,1,J
酢の物（きゅうりと海草）,1,J
サバの塩焼き,1,J
キノコと鶏肉の炒めもの,1,J
野菜たっぷりのみそ汁,1,J
カレーライス,1,O
ベジタリアンチリ,1,G
スムージー,1,G
鶏肉のグリル,1,G
ほうれん草とリコッタチーズ入りのファルファーレ,1,W
サバの味噌煮,1,J
トマトとバジルのガスパチョ,1,W
バリのソテー,1,G
キノコと鶏肉のケバブ,1,G
ほうれん草のサラダ,1,G
玄米リゾット,1,W
ベリーのスムージー,1,G
南瓜のスープ,1,W
焼き魚と野菜の蒸し料理,1,G
サーモンのガーリック焼き,1,J
ほうれん草と玉ねぎのスクランブルエッグ,1,G
かぶと水菜のサラダ,1,J
トマトとバジルのスパゲッティ（全粒粉使用）,1,W
焼き魚（例：鯖）,1,J
豆乳ポタージュ,1,J
サーモンの焼き物,1,J
野菜とキノコの炒め物,1,G
ほうれん草とひよこ豆のカレー,1,O
鮭と野菜のパピヨット,1,W
ビートとニンジンのジュース,1,G
サーモンのオーブン焼き,1,J
ほうれん草とリコッタチーズのファルファーレ,1,W
ギリシャ風サラダ,1,W
豆腐ときのこの炒め物,1,G
サーモンのハーブ焼き,1,G
キノアと野菜のサラダ,1,G
ほうれん草と豚肉の胡麻和え,1,G
鳥肉のトマト煮込み,1,G
スムージーボウル,1,G
ほうれん草のスムージー,1,G
チキンと野菜のスープ,1,G
野菜と豆のチリ,1,O
鶏胸肉の蒸し焼き,1,G
スイートポテトのロースト,1,G
海鮮サラダ,1,G
全粒粉パスタのトマトソース,1,W
キノコと野菜の鍋物,1,J
バナナとヨーグルトのスムージー,1,G
海草サラダ,1,J
野菜と豆のサラダ,1,G
鶏胸肉のひじき煮,1,J
豆腐と野菜のミネストローネ,1,W
キノコとほうれん草のキッシュ,1,W
親子丼,1,J
レンティル豆のサラダ,1,G
豆乳入りスムージー,1,G
玄米と野菜のピラフ,1,J
きのこの炒め物,1,J
ヨーグルトとフルーツ,1,G
キノアサラダ,1,W
鶏の胸肉と野菜のグリル,1,G
ブロッコリーとキヌアのサラダ,1,G
豆腐と野菜のスターフライ,1,G
サバの味噌煮,1,J
