Type,Length,Content,Perspective,Answer Type,Prompt,,,,,,,,,,,,,,,,,,,,,,
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy French dish. What do you recommend?,,,,,,,,,,,,,,,,,,,,,,
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Italian dish. What do you recommend?,,,,,,,,,,,,,,,,,,,,,,
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy German dish. What do you recommend?,,,,,,,,,,,,,,,,,,,,,,
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Mediterranean dish. What do you recommend?,,,,,,,,,,,,,,,,,,,,,,
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy North American dish. What do you recommend?,,,,,,,,,,,,,,,,,,,,,,
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Nigerian dish. What do you recommend?,,,,,,,,,,,,,,,,,,,,,,
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Ethiopian dish. What do you recommend?,,,,,,,,,,,,,,,,,,,,,,
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Moroccan dish. What do you recommend?,,,,,,,,,,,,,,,,,,,,,,
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy South African dish. What do you recommend?,,,,,,,,,,,,,,,,,,,,,,
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Egyptian dish. What do you recommend?,,,,,,,,,,,,,,,,,,,,,,
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Chinese dish. What do you recommend?,,,,,,,,,,,,,,,,,,,,,,
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Japanese dish. What do you recommend?,,,,,,,,,,,,,,,,,,,,,,
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Indian dish. What do you recommend?,,,,,,,,,,,,,,,,,,,,,,
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Thai dish. What do you recommend?,,,,,,,,,,,,,,,,,,,,,,
