Type,Length,Content,Perspective,Answer Type,Prompt,Response
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy French dish. What do you recommend?,"{
""dish_name"": ""Ratatouille"",
""estimated_cost_usd"": 8,
""preparation_time_minutes"": 45,
""total_calories"": 150,
""protein_grams"": 3,
""fat_grams"": 7,
""carbohydrates_grams"": 20
}"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy French dish. What do you recommend?,"{ ""dish_name"": ""Ratatouille"", ""estimated_cost_usd"": 5, ""preparation_time_minutes"": 45, ""total_calories"": 150, ""protein_grams"": 3, ""fat_grams"": 10, ""carbohydrates_grams"": 15 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy French dish. What do you recommend?,"{ ""dish_name"": ""Ratatouille"", ""estimated_cost_usd"": 5, ""preparation_time_minutes"": 45, ""total_calories"": 150, ""protein_grams"": 3, ""fat_grams"": 7, ""carbohydrates_grams"": 20 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy French dish. What do you recommend?,"{ ""dish_name"": ""Ratatouille"", ""estimated_cost_usd"": 6, ""preparation_time_minutes"": 45, ""total_calories"": 150, ""protein_grams"": 3, ""fat_grams"": 8, ""carbohydrates_grams"": 18 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy French dish. What do you recommend?,"{ ""dish_name"": ""Ratatouille"", ""estimated_cost_usd"": 5, ""preparation_time_minutes"": 60, ""total_calories"": 150, ""protein_grams"": 3, ""fat_grams"": 10, ""carbohydrates_grams"": 15 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy French dish. What do you recommend?,"{
  ""dish_name"": ""Ratatouille"",
  ""estimated_cost_usd"": 6,
  ""preparation_time_minutes"": 45,
  ""total_calories"": 150,
  ""protein_grams"": 3,
  ""fat_grams"": 7,
  ""carbohydrates_grams"": 20
}"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy French dish. What do you recommend?,"{ ""dish_name"": ""Ratatouille"", ""estimated_cost_usd"": 4.00, ""preparation_time_minutes"": 60, ""total_calories"": 150, ""protein_grams"": 3, ""fat_grams"": 7, ""carbohydrates_grams"": 20 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy French dish. What do you recommend?,"{ ""dish_name"": ""Ratatouille"", ""estimated_cost_usd"": 4, ""preparation_time_minutes"": 45, ""total_calories"": 150, ""protein_grams"": 3, ""fat_grams"": 10, ""carbohydrates_grams"": 15 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy French dish. What do you recommend?,"{ ""dish_name"": ""Ratatouille"", ""estimated_cost_usd"": 5, ""preparation_time_minutes"": 60, ""total_calories"": 150, ""protein_grams"": 3, ""fat_grams"": 7, ""carbohydrates_grams"": 20 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy French dish. What do you recommend?,"{ ""dish_name"": ""Ratatouille"", ""estimated_cost_usd"": 4.00, ""preparation_time_minutes"": 60, ""total_calories"": 150, ""protein_grams"": 3, ""fat_grams"": 7, ""carbohydrates_grams"": 20 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Italian dish. What do you recommend?,"{ ""dish_name"": ""Grilled Chicken with Tomato Basil Salad"", ""estimated_cost_usd"": 8, ""preparation_time_minutes"": 25, ""total_calories"": 350, ""protein_grams"": 34, ""fat_grams"": 16, ""carbohydrates_grams"": 20 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Italian dish. What do you recommend?,"{ ""dish_name"": ""Grilled Chicken with Pesto Zoodles"", ""estimated_cost_usd"": 8, ""preparation_time_minutes"": 25, ""total_calories"": 350, ""protein_grams"": 35, ""fat_grams"": 18, ""carbohydrates_grams"": 10 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Italian dish. What do you recommend?,"{
  ""dish_name"": ""Grilled Chicken with Tomato Basil Salad"",
  ""estimated_cost_usd"": 7,
  ""preparation_time_minutes"": 25,
  ""total_calories"": 350,
  ""protein_grams"": 35,
  ""fat_grams"": 15,
  ""carbohydrates_grams"": 20
}"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Italian dish. What do you recommend?,"{ ""dish_name"": ""Grilled Chicken Caprese Salad"", ""estimated_cost_usd"": 6, ""preparation_time_minutes"": 20, ""total_calories"": 350, ""protein_grams"": 30, ""fat_grams"": 20, ""carbohydrates_grams"": 10 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Italian dish. What do you recommend?,"{ ""dish_name"": ""Grilled Chicken and Vegetable Salad"", ""estimated_cost_usd"": 7, ""preparation_time_minutes"": 30, ""total_calories"": 350, ""protein_grams"": 35, ""fat_grams"": 15, ""carbohydrates_grams"": 20 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Italian dish. What do you recommend?,"{ ""dish_name"": ""Grilled Chicken with Tomato Basil Salad"", ""estimated_cost_usd"": 6, ""preparation_time_minutes"": 25, ""total_calories"": 350, ""protein_grams"": 30, ""fat_grams"": 15, ""carbohydrates_grams"": 20 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Italian dish. What do you recommend?,"{ ""dish_name"": ""Grilled Chicken Bruschetta"", ""estimated_cost_usd"": 8, ""preparation_time_minutes"": 30, ""total_calories"": 350, ""protein_grams"": 35, ""fat_grams"": 12, ""carbohydrates_grams"": 25 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Italian dish. What do you recommend?,"{ ""dish_name"": ""Grilled Chicken with Tomato Basil Salad"", ""estimated_cost_usd"": 8, ""preparation_time_minutes"": 30, ""total_calories"": 350, ""protein_grams"": 40, ""fat_grams"": 15, ""carbohydrates_grams"": 10 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Italian dish. What do you recommend?,"{ ""dish_name"": ""Grilled Chicken Caprese Salad"", ""estimated_cost_usd"": 8, ""preparation_time_minutes"": 25, ""total_calories"": 350, ""protein_grams"": 30, ""fat_grams"": 20, ""carbohydrates_grams"": 15 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Italian dish. What do you recommend?,"{
  ""dish_name"": ""Grilled Chicken Caprese"",
  ""estimated_cost_usd"": 8,
  ""preparation_time_minutes"": 25,
  ""total_calories"": 350,
  ""protein_grams"": 43,
  ""fat_grams"": 18,
  ""carbohydrates_grams"": 8
}"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy German dish. What do you recommend?,"{ ""dish_name"": ""Grünkohl mit Pinkel (Kale with Sausage)"", ""estimated_cost_usd"": 8.00, ""preparation_time_minutes"": 45, ""total_calories"": 350, ""protein_grams"": 22, ""fat_grams"": 20, ""carbohydrates_grams"": 18 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy German dish. What do you recommend?,"{ ""dish_name"": ""Grünkohl mit Pinkel (Kale with Sausage)"", ""estimated_cost_usd"": 7, ""preparation_time_minutes"": 30, ""total_calories"": 350, ""protein_grams"": 20, ""fat_grams"": 15, ""carbohydrates_grams"": 30 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy German dish. What do you recommend?,"{ ""dish_name"": ""Grilled Herbed Chicken with Sauerkraut"", ""estimated_cost_usd"": 8, ""preparation_time_minutes"": 30, ""total_calories"": 350, ""protein_grams"": 35, ""fat_grams"": 10, ""carbohydrates_grams"": 20 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy German dish. What do you recommend?,"{ ""dish_name"": ""Rotkohl mit Äpfeln (Red Cabbage with Apples)"", ""estimated_cost_usd"": 3.00, ""preparation_time_minutes"": 45, ""total_calories"": 150, ""protein_grams"": 2, ""fat_grams"": 5, ""carbohydrates_grams"": 29 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy German dish. What do you recommend?,"{ ""dish_name"": ""Rotkohl mit Apfel (Red Cabbage with Apple)"", ""estimated_cost_usd"": 3, ""preparation_time_minutes"": 30, ""total_calories"": 130, ""protein_grams"": 2, ""fat_grams"": 4, ""carbohydrates_grams"": 24 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy German dish. What do you recommend?,"{ ""dish_name"": ""Kohlrabi Salad"", ""estimated_cost_usd"": 3, ""preparation_time_minutes"": 15, ""total_calories"": 150, ""protein_grams"": 4, ""fat_grams"": 7, ""carbohydrates_grams"": 18 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy German dish. What do you recommend?,"{ ""dish_name"": ""Rotkohl mit Apfel (Red Cabbage with Apple)"", ""estimated_cost_usd"": 3, ""preparation_time_minutes"": 45, ""total_calories"": 150, ""protein_grams"": 2, ""fat_grams"": 5, ""carbohydrates_grams"": 26 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy German dish. What do you recommend?,"{ ""dish_name"": ""Grünkohl mit Pinkel (Kale with Sausage)"", ""estimated_cost_usd"": 8, ""preparation_time_minutes"": 45, ""total_calories"": 450, ""protein_grams"": 25, ""fat_grams"": 30, ""carbohydrates_grams"": 20 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy German dish. What do you recommend?,"{ ""dish_name"": ""Grünkohl mit Pinkel (Kale with Sausage)"", ""estimated_cost_usd"": 10, ""preparation_time_minutes"": 45, ""total_calories"": 450, ""protein_grams"": 25, ""fat_grams"": 30, ""carbohydrates_grams"": 24 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy German dish. What do you recommend?,"{ ""dish_name"": ""Grilled Salmon with Sauerkraut"", ""estimated_cost_usd"": 10, ""preparation_time_minutes"": 20, ""total_calories"": 400, ""protein_grams"": 35, ""fat_grams"": 20, ""carbohydrates_grams"": 15 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Mediterranean dish. What do you recommend?,"{ ""dish_name"": ""Grilled Chicken Salad with Quinoa"", ""estimated_cost_usd"": 5, ""preparation_time_minutes"": 20, ""total_calories"": 350, ""protein_grams"": 30, ""fat_grams"": 15, ""carbohydrates_grams"": 25 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Mediterranean dish. What do you recommend?,"{ ""dish_name"": ""Grilled Chicken with Quinoa and Greek Salad"", ""estimated_cost_usd"": 8, ""preparation_time_minutes"": 30, ""total_calories"": 450, ""protein_grams"": 35, ""fat_grams"": 15, ""carbohydrates_grams"": 40 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Mediterranean dish. What do you recommend?,"{ ""dish_name"": ""Grilled Salmon with Quinoa and Veggies"", ""estimated_cost_usd"": 10, ""preparation_time_minutes"": 30, ""total_calories"": 500, ""protein_grams"": 40, ""fat_grams"": 20, ""carbohydrates_grams"": 40 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Mediterranean dish. What do you recommend?,"{ ""dish_name"": ""Greek Salad with Grilled Chicken"", ""estimated_cost_usd"": 10, ""preparation_time_minutes"": 20, ""total_calories"": 350, ""protein_grams"": 30, ""fat_grams"": 18, ""carbohydrates_grams"": 15 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Mediterranean dish. What do you recommend?,"{ ""dish_name"": ""Greek Salad"", ""estimated_cost_usd"": 4, ""preparation_time_minutes"": 15, ""total_calories"": 145, ""protein_grams"": 4, ""fat_grams"": 10, ""carbohydrates_grams"": 11 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Mediterranean dish. What do you recommend?,"{ ""dish_name"": ""Mediterranean Quinoa Salad"", ""estimated_cost_usd"": 3, ""preparation_time_minutes"": 20, ""total_calories"": 250, ""protein_grams"": 7, ""fat_grams"": 11, ""carbohydrates_grams"": 30 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Mediterranean dish. What do you recommend?,"{ 
  ""dish_name"": ""Mediterranean Quinoa Salad"", 
  ""estimated_cost_usd"": 4, 
  ""preparation_time_minutes"": 20, 
  ""total_calories"": 300, 
  ""protein_grams"": 10, 
  ""fat_grams"": 14, 
  ""carbohydrates_grams"": 36 
}"
