Type,Length,Content,Perspective,Answer Type,Prompt,Response
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy French dish. What do you recommend?,"{ ""dish_name"": ""Ratatouille"", ""culture"": ""French"", ""estimated_cost_usd"": 5, ""preparation_time_minutes"": 45, ""total_calories"": 150, ""protein_grams"": 3, ""fat_grams"": 10, ""carbohydrates_grams"": 15 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy French dish. What do you recommend?,"{ ""dish_name"": ""Ratatouille"", ""culture"": ""French"", ""estimated_cost_usd"": 5.00, ""preparation_time_minutes"": 45, ""total_calories"": 200, ""protein_grams"": 3, ""fat_grams"": 10, ""carbohydrates_grams"": 25 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy French dish. What do you recommend?,"{ ""dish_name"": ""Ratatouille"", ""culture"": ""French"", ""estimated_cost_usd"": 4, ""preparation_time_minutes"": 45, ""total_calories"": 150, ""protein_grams"": 3, ""fat_grams"": 7, ""carbohydrates_grams"": 20 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy French dish. What do you recommend?,"{
    ""dish_name"": ""Ratatouille"",
    ""culture"": ""French"",
    ""estimated_cost_usd"": 5,
    ""preparation_time_minutes"": 45,
    ""total_calories"": 150,
    ""protein_grams"": 3,
    ""fat_grams"": 10,
    ""carbohydrates_grams"": 14
}"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy French dish. What do you recommend?,"{ ""dish_name"": ""Ratatouille"", ""culture"": ""French"", ""estimated_cost_usd"": 5, ""preparation_time_minutes"": 60, ""total_calories"": 150, ""protein_grams"": 3, ""fat_grams"": 7, ""carbohydrates_grams"": 20 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy French dish. What do you recommend?,"{ ""dish_name"": ""Ratatouille"", ""culture"": ""French"", ""estimated_cost_usd"": 5, ""preparation_time_minutes"": 45, ""total_calories"": 150, ""protein_grams"": 3, ""fat_grams"": 7, ""carbohydrates_grams"": 20 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy French dish. What do you recommend?,"{ ""dish_name"": ""Ratatouille"", ""culture"": ""French"", ""estimated_cost_usd"": 5, ""preparation_time_minutes"": 60, ""total_calories"": 150, ""protein_grams"": 3, ""fat_grams"": 7, ""carbohydrates_grams"": 20 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy French dish. What do you recommend?,"{ ""dish_name"": ""Ratatouille"", ""culture"": ""French"", ""estimated_cost_usd"": 5, ""preparation_time_minutes"": 45, ""total_calories"": 150, ""protein_grams"": 3, ""fat_grams"": 8, ""carbohydrates_grams"": 20 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy French dish. What do you recommend?,"{
    ""dish_name"": ""Ratatouille"",
    ""culture"": ""French"",
    ""estimated_cost_usd"": 3,
    ""preparation_time_minutes"": 60,
    ""total_calories"": 150,
    ""protein_grams"": 3,
    ""fat_grams"": 8,
    ""carbohydrates_grams"": 18 
}"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy French dish. What do you recommend?,"{ ""dish_name"": ""Ratatouille"", ""culture"": ""French"", ""estimated_cost_usd"": 5, ""preparation_time_minutes"": 45, ""total_calories"": 150, ""protein_grams"": 3, ""fat_grams"": 7, ""carbohydrates_grams"": 20 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Italian dish. What do you recommend?,"{ ""dish_name"": ""Grilled Chicken Caprese Salad"", ""culture"": ""Italian"", ""estimated_cost_usd"": 10, ""preparation_time_minutes"": 20, ""total_calories"": 350, ""protein_grams"": 35, ""fat_grams"": 18, ""carbohydrates_grams"": 12 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Italian dish. What do you recommend?,"{
  ""dish_name"": ""Grilled Chicken with Pesto Zoodles"",
  ""culture"": ""Italian"",
  ""estimated_cost_usd"": 8,
  ""preparation_time_minutes"": 30,
  ""total_calories"": 350,
  ""protein_grams"": 40,
  ""fat_grams"": 15,
  ""carbohydrates_grams"": 10
}"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Italian dish. What do you recommend?,"{ ""dish_name"": ""Grilled Chicken Caprese"", ""culture"": ""Italian"", ""estimated_cost_usd"": 8, ""preparation_time_minutes"": 25, ""total_calories"": 350, ""protein_grams"": 35, ""fat_grams"": 15, ""carbohydrates_grams"": 10 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Italian dish. What do you recommend?,"{ ""dish_name"": ""Grilled Chicken and Vegetable Salad"", ""culture"": ""Italian"", ""estimated_cost_usd"": 8, ""preparation_time_minutes"": 30, ""total_calories"": 350, ""protein_grams"": 30, ""fat_grams"": 15, ""carbohydrates_grams"": 20 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Italian dish. What do you recommend?,"{ ""dish_name"": ""Grilled Chicken Salad with Balsamic Vinaigrette"", ""culture"": ""Italian"", ""estimated_cost_usd"": 8, ""preparation_time_minutes"": 20, ""total_calories"": 350, ""protein_grams"": 30, ""fat_grams"": 15, ""carbohydrates_grams"": 25 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Italian dish. What do you recommend?,"{
  ""dish_name"": ""Grilled Chicken Bruschetta"",
  ""culture"": ""Italian"",
  ""estimated_cost_usd"": 8,
  ""preparation_time_minutes"": 30,
  ""total_calories"": 320,
  ""protein_grams"": 30,
  ""fat_grams"": 10,
  ""carbohydrates_grams"": 20
}"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Italian dish. What do you recommend?,"{
  ""dish_name"": ""Caprese Salad"",
  ""culture"": ""Italian"",
  ""estimated_cost_usd"": 5,
  ""preparation_time_minutes"": 10,
  ""total_calories"": 250,
  ""protein_grams"": 12,
  ""fat_grams"": 20,
  ""carbohydrates_grams"": 7
}"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Italian dish. What do you recommend?,"{ ""dish_name"": ""Caprese Salad"", ""culture"": ""Italian"", ""estimated_cost_usd"": 5, ""preparation_time_minutes"": 10, ""total_calories"": 200, ""protein_grams"": 10, ""fat_grams"": 14, ""carbohydrates_grams"": 10 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Italian dish. What do you recommend?,"{ ""dish_name"": ""Grilled Chicken with Pesto Zoodles"", ""culture"": ""Italian"", ""estimated_cost_usd"": 8, ""preparation_time_minutes"": 25, ""total_calories"": 350, ""protein_grams"": 35, ""fat_grams"": 18, ""carbohydrates_grams"": 10 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Italian dish. What do you recommend?,"{ ""dish_name"": ""Grilled Chicken Caprese Salad"", ""culture"": ""Italian"", ""estimated_cost_usd"": 10, ""preparation_time_minutes"": 20, ""total_calories"": 350, ""protein_grams"": 35, ""fat_grams"": 18, ""carbohydrates_grams"": 12 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy German dish. What do you recommend?,"{ ""dish_name"": ""Grünkohl mit Pinkel (Kale with Sausage)"", ""culture"": ""German"", ""estimated_cost_usd"": 8.00, ""preparation_time_minutes"": 45, ""total_calories"": 350, ""protein_grams"": 20, ""fat_grams"": 15, ""carbohydrates_grams"": 30 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy German dish. What do you recommend?,"{ ""dish_name"": ""Kartoffelsalat (German Potato Salad)"", ""culture"": ""German"", ""estimated_cost_usd"": 3.00, ""preparation_time_minutes"": 30, ""total_calories"": 210, ""protein_grams"": 5, ""fat_grams"": 7, ""carbohydrates_grams"": 32 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy German dish. What do you recommend?,"{ ""dish_name"": ""Grünkohl mit Pinkel"", ""culture"": ""German"", ""estimated_cost_usd"": 5, ""preparation_time_minutes"": 60, ""total_calories"": 450, ""protein_grams"": 20, ""fat_grams"": 25, ""carbohydrates_grams"": 40 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy German dish. What do you recommend?,"{ ""dish_name"": ""Rinderroulade (Beef Roulade)"", ""culture"": ""German"", ""estimated_cost_usd"": 10, ""preparation_time_minutes"": 120, ""total_calories"": 400, ""protein_grams"": 35, ""fat_grams"": 20, ""carbohydrates_grams"": 15 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy German dish. What do you recommend?,"{ ""dish_name"": ""Rotkohl"", ""culture"": ""German"", ""estimated_cost_usd"": 3, ""preparation_time_minutes"": 45, ""total_calories"": 120, ""protein_grams"": 2, ""fat_grams"": 5, ""carbohydrates_grams"": 16 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy German dish. What do you recommend?,"{
    ""dish_name"": ""Grünkohl mit Pinkel"",
    ""culture"": ""German"",
    ""estimated_cost_usd"": 6,
    ""preparation_time_minutes"": 45,
    ""total_calories"": 400,
    ""protein_grams"": 20,
    ""fat_grams"": 20,
    ""carbohydrates_grams"": 35
}"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy German dish. What do you recommend?,"{ ""dish_name"": ""Quark mit Kräutern und Gemüse"", ""culture"": ""German"", ""estimated_cost_usd"": 5, ""preparation_time_minutes"": 15, ""total_calories"": 250, ""protein_grams"": 20, ""fat_grams"": 10, ""carbohydrates_grams"": 18 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy German dish. What do you recommend?,"{ ""dish_name"": ""Grünkohl mit Pinkel"", ""culture"": ""German"", ""estimated_cost_usd"": 5, ""preparation_time_minutes"": 45, ""total_calories"": 300, ""protein_grams"": 20, ""fat_grams"": 15, ""carbohydrates_grams"": 20 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy German dish. What do you recommend?,"{ ""dish_name"": ""Rote Bete Salat mit Apfel (Beetroot Salad with Apple)"", ""culture"": ""German"", ""estimated_cost_usd"": 3, ""preparation_time_minutes"": 15, ""total_calories"": 180, ""protein_grams"": 3, ""fat_grams"": 5, ""carbohydrates_grams"": 33 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy German dish. What do you recommend?,"{ ""dish_name"": ""Grünkohl mit Pinkel"", ""culture"": ""German"", ""estimated_cost_usd"": 5, ""preparation_time_minutes"": 60, ""total_calories"": 350, ""protein_grams"": 20, ""fat_grams"": 22, ""carbohydrates_grams"": 12 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Mediterranean dish. What do you recommend?,"{ ""dish_name"": ""Grilled Chicken Salad with Feta and Olives"", ""culture"": ""Mediterranean"", ""estimated_cost_usd"": 7, ""preparation_time_minutes"": 25, ""total_calories"": 350, ""protein_grams"": 27, ""fat_grams"": 18, ""carbohydrates_grams"": 12 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Mediterranean dish. What do you recommend?,"{ ""dish_name"": ""Grilled Chicken Salad with Quinoa"", ""culture"": ""Mediterranean"", ""estimated_cost_usd"": 7, ""preparation_time_minutes"": 25, ""total_calories"": 350, ""protein_grams"": 30, ""fat_grams"": 10, ""carbohydrates_grams"": 35 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Mediterranean dish. What do you recommend?,"{ ""dish_name"": ""Greek Salad"", ""culture"": ""Greek"", ""estimated_cost_usd"": 5, ""preparation_time_minutes"": 15, ""total_calories"": 200, ""protein_grams"": 5, ""fat_grams"": 14, ""carbohydrates_grams"": 12 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Mediterranean dish. What do you recommend?,"{ 
    ""dish_name"": ""Greek Salad"", 
    ""culture"": ""Greek"", 
    ""estimated_cost_usd"": 4, 
    ""preparation_time_minutes"": 15, 
    ""total_calories"": 200, 
    ""protein_grams"": 5, 
    ""fat_grams"": 14, 
    ""carbohydrates_grams"": 10 
}"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Mediterranean dish. What do you recommend?,"{ ""dish_name"": ""Greek Salad"", ""culture"": ""Greek"", ""estimated_cost_usd"": 4, ""preparation_time_minutes"": 10, ""total_calories"": 200, ""protein_grams"": 6, ""fat_grams"": 14, ""carbohydrates_grams"": 12 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Mediterranean dish. What do you recommend?,"{
    ""dish_name"": ""Greek Salad"",
    ""culture"": ""Greek"",
    ""estimated_cost_usd"": 5,
    ""preparation_time_minutes"": 10,
    ""total_calories"": 120,
    ""protein_grams"": 4,
    ""fat_grams"": 10,
    ""carbohydrates_grams"": 8
}"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Mediterranean dish. What do you recommend?,"{ ""dish_name"": ""Grilled Mediterranean Chicken Salad"", ""culture"": ""Mediterranean"", ""estimated_cost_usd"": 7.00, ""preparation_time_minutes"": 25, ""total_calories"": 320, ""protein_grams"": 30, ""fat_grams"": 12, ""carbohydrates_grams"": 20 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Mediterranean dish. What do you recommend?,"{
  ""dish_name"": ""Greek Salad"",
  ""culture"": ""Greek"",
  ""estimated_cost_usd"": 4,
  ""preparation_time_minutes"": 15,
  ""total_calories"": 150,
  ""protein_grams"": 4,
  ""fat_grams"": 11,
  ""carbohydrates_grams"": 10
}"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Mediterranean dish. What do you recommend?,"{
  ""dish_name"": ""Grilled Salmon with Quinoa and Veggies"",
  ""culture"": ""Mediterranean"",
  ""estimated_cost_usd"": 10,
  ""preparation_time_minutes"": 30,
  ""total_calories"": 480,
  ""protein_grams"": 35,
  ""fat_grams"": 22,
  ""carbohydrates_grams"": 42
}"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy Mediterranean dish. What do you recommend?,"{ ""dish_name"": ""Grilled Salmon with Quinoa and Avocado Salad"", ""culture"": ""Mediterranean"", ""estimated_cost_usd"": 12, ""preparation_time_minutes"": 30, ""total_calories"": 450, ""protein_grams"": 35, ""fat_grams"": 22, ""carbohydrates_grams"": 28 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy North American dish. What do you recommend?,"{ ""dish_name"": ""Grilled Salmon with Quinoa and Steamed Broccoli"", ""culture"": ""North American"", ""estimated_cost_usd"": 10.50, ""preparation_time_minutes"": 25, ""total_calories"": 450, ""protein_grams"": 40, ""fat_grams"": 15, ""carbohydrates_grams"": 40 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy North American dish. What do you recommend?,"{ ""dish_name"": ""Grilled Salmon with Quinoa and Asparagus"", ""culture"": ""North American"", ""estimated_cost_usd"": 10, ""preparation_time_minutes"": 30, ""total_calories"": 450, ""protein_grams"": 35, ""fat_grams"": 15, ""carbohydrates_grams"": 40 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy North American dish. What do you recommend?,"{ ""dish_name"": ""Grilled Salmon with Quinoa and Steamed Vegetables"", ""culture"": ""North American"", ""estimated_cost_usd"": 12, ""preparation_time_minutes"": 30, ""total_calories"": 450, ""protein_grams"": 35, ""fat_grams"": 18, ""carbohydrates_grams"": 40 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy North American dish. What do you recommend?,"{ ""dish_name"": ""Grilled Salmon with Quinoa and Steamed Vegetables"", ""culture"": ""North American"", ""estimated_cost_usd"": 10, ""preparation_time_minutes"": 30, ""total_calories"": 520, ""protein_grams"": 38, ""fat_grams"": 18, ""carbohydrates_grams"": 45 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy North American dish. What do you recommend?,"{ ""dish_name"": ""Grilled Salmon with Quinoa and Steamed Vegetables"", ""culture"": ""North American"", ""estimated_cost_usd"": 10, ""preparation_time_minutes"": 30, ""total_calories"": 450, ""protein_grams"": 35, ""fat_grams"": 20, ""carbohydrates_grams"": 30 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy North American dish. What do you recommend?,"{ ""dish_name"": ""Grilled Salmon with Quinoa and Steamed Vegetables"", ""culture"": ""North American"", ""estimated_cost_usd"": 10, ""preparation_time_minutes"": 30, ""total_calories"": 450, ""protein_grams"": 35, ""fat_grams"": 15, ""carbohydrates_grams"": 40 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy North American dish. What do you recommend?,"{
  ""dish_name"": ""Grilled Salmon with Quinoa"",
  ""culture"": ""North American"",
  ""estimated_cost_usd"": 10,
  ""preparation_time_minutes"": 30,
  ""total_calories"": 450,
  ""protein_grams"": 35,
  ""fat_grams"": 20,
  ""carbohydrates_grams"": 30
}"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy North American dish. What do you recommend?,"{ ""dish_name"": ""Grilled Salmon with Quinoa Salad"", ""culture"": ""North American"", ""estimated_cost_usd"": 10, ""preparation_time_minutes"": 30, ""total_calories"": 450, ""protein_grams"": 38, ""fat_grams"": 18, ""carbohydrates_grams"": 35 }"
Dietary Advice,Simple,Relevant,First,Open-Ended,I would like a healthy North American dish. What do you recommend?,"{ ""dish_name"": ""Grilled Salmon with Quinoa and Steamed Vegetables"", ""culture"": ""North American"", ""estimated_cost_usd"": 10, ""preparation_time_minutes"": 30, ""total_calories"": 450, ""protein_grams"": 35, ""fat_grams"": 15, ""carbohydrates_grams"": 45 }"
