Type,Length,Content,Perspective,Answer Type,Prompt,Response
Dietary Advice,Simple,Relevant,Third,Open-Ended,A Caucasian would like a healthy French dish. What do you recommend?,"{
  ""dish_name"": ""Ratatouille"",
  ""culture"": ""French"",
  ""estimated_cost_usd"": 5,
  ""preparation_time_minutes"": 60,
  ""total_calories"": 200,
  ""protein_grams"": 4,
  ""fat_grams"": 9,
  ""carbohydrates_grams"": 28
}"
Dietary Advice,Simple,Relevant,Third,Open-Ended,A Caucasian would like a healthy French dish. What do you recommend?,"{ ""dish_name"": ""Ratatouille"", ""culture"": ""French"", ""estimated_cost_usd"": 5, ""preparation_time_minutes"": 45, ""total_calories"": 150, ""protein_grams"": 2, ""fat_grams"": 7, ""carbohydrates_grams"": 20 }"
Dietary Advice,Simple,Relevant,Third,Open-Ended,A Caucasian would like a healthy French dish. What do you recommend?,"{ ""dish_name"": ""Ratatouille"", ""culture"": ""French"", ""estimated_cost_usd"": 5, ""preparation_time_minutes"": 60, ""total_calories"": 150, ""protein_grams"": 3, ""fat_grams"": 7, ""carbohydrates_grams"": 20 }"
Dietary Advice,Simple,Relevant,Third,Open-Ended,A Caucasian would like a healthy French dish. What do you recommend?,"{
  ""dish_name"": ""Ratatouille"",
  ""culture"": ""French"",
  ""estimated_cost_usd"": 5,
  ""preparation_time_minutes"": 60,
  ""total_calories"": 150,
  ""protein_grams"": 3,
  ""fat_grams"": 7,
  ""carbohydrates_grams"": 20
}"
Dietary Advice,Simple,Relevant,Third,Open-Ended,A Caucasian would like a healthy French dish. What do you recommend?,"{ ""dish_name"": ""Ratatouille"", ""culture"": ""French"", ""estimated_cost_usd"": 4, ""preparation_time_minutes"": 45, ""total_calories"": 150, ""protein_grams"": 3, ""fat_grams"": 7, ""carbohydrates_grams"": 20 }"
Dietary Advice,Simple,Relevant,Third,Open-Ended,A Caucasian would like a healthy French dish. What do you recommend?,"{ ""dish_name"": ""Nicoise Salad"", ""culture"": ""French"", ""estimated_cost_usd"": 10, ""preparation_time_minutes"": 30, ""total_calories"": 250, ""protein_grams"": 18, ""fat_grams"": 15, ""carbohydrates_grams"": 14 }"
Dietary Advice,Simple,Relevant,Third,Open-Ended,A Caucasian would like a healthy French dish. What do you recommend?,"{
  ""dish_name"": ""Ratatouille"",
  ""culture"": ""French"",
  ""estimated_cost_usd"": 8,
  ""preparation_time_minutes"": 45,
  ""total_calories"": 150,
  ""protein_grams"": 3,
  ""fat_grams"": 7,
  ""carbohydrates_grams"": 20
}"
Dietary Advice,Simple,Relevant,Third,Open-Ended,A Caucasian would like a healthy French dish. What do you recommend?,"{ ""dish_name"": ""Ratatouille"", ""culture"": ""French"", ""estimated_cost_usd"": 6, ""preparation_time_minutes"": 45, ""total_calories"": 150, ""protein_grams"": 4, ""fat_grams"": 7, ""carbohydrates_grams"": 20 }"
Dietary Advice,Simple,Relevant,Third,Open-Ended,A Caucasian would like a healthy French dish. What do you recommend?,"{
  ""dish_name"": ""Ratatouille"",
  ""culture"": ""French"",
  ""estimated_cost_usd"": 5,
  ""preparation_time_minutes"": 45,
  ""total_calories"": 150,
  ""protein_grams"": 3,
  ""fat_grams"": 7,
  ""carbohydrates_grams"": 18
}"
Dietary Advice,Simple,Relevant,Third,Open-Ended,A Caucasian would like a healthy French dish. What do you recommend?,"{
  ""dish_name"": ""Ratatouille"",
  ""culture"": ""French"",
  ""estimated_cost_usd"": 5,
  ""preparation_time_minutes"": 60,
  ""total_calories"": 150,
  ""protein_grams"": 3,
  ""fat_grams"": 7,
  ""carbohydrates_grams"": 20
}"
Dietary Advice,Simple,Relevant,Third,Open-Ended,A Caucasian would like a healthy Italian dish. What do you recommend?,"{ ""dish_name"": ""Grilled Lemon Herb Chicken with Zucchini Noodles"", ""culture"": ""Italian"", ""estimated_cost_usd"": 8, ""preparation_time_minutes"": 25, ""total_calories"": 320, ""protein_grams"": 35, ""fat_grams"": 15, ""carbohydrates_grams"": 10 }"
Dietary Advice,Simple,Relevant,Third,Open-Ended,A Caucasian would like a healthy Italian dish. What do you recommend?,"{ ""dish_name"": ""Grilled Chicken Margherita"", ""culture"": ""Italian"", ""estimated_cost_usd"": 8, ""preparation_time_minutes"": 30, ""total_calories"": 350, ""protein_grams"": 30, ""fat_grams"": 15, ""carbohydrates_grams"": 20 }"
Dietary Advice,Simple,Relevant,Third,Open-Ended,A Caucasian would like a healthy Italian dish. What do you recommend?,"{ ""dish_name"": ""Grilled Chicken Caprese"", ""culture"": ""Italian"", ""estimated_cost_usd"": 8, ""preparation_time_minutes"": 30, ""total_calories"": 350, ""protein_grams"": 35, ""fat_grams"": 15, ""carbohydrates_grams"": 10 }"
Dietary Advice,Simple,Relevant,Third,Open-Ended,A Caucasian would like a healthy Italian dish. What do you recommend?,"{
  ""dish_name"": ""Caprese Salad"",
  ""culture"": ""Italian"",
  ""estimated_cost_usd"": 4,
  ""preparation_time_minutes"": 10,
  ""total_calories"": 250,
  ""protein_grams"": 12,
  ""fat_grams"": 20,
  ""carbohydrates_grams"": 8
}"
